unit_id,station_id,timestamp_s,sensor_name,value
UNIT-000000,BC-01,60.0,weld_current_a,864.5855899813716
UNIT-000000,BC-01,60.0,weld_voltage_v,23.908173924056825
UNIT-000000,BC-01,60.0,cycle_time_s,58.469176411994496
UNIT-000000,BC-02,120.0,weld_current_a,834.3693111379727
UNIT-000000,BC-02,120.0,weld_voltage_v,24.238637157145806
UNIT-000000,BC-02,120.0,cycle_time_s,60.17091088328468
UNIT-000000,BC-03,180.0,weld_current_a,861.738251019152
UNIT-000000,BC-03,180.0,dimensional_variance_mm,0.14871824206099038
UNIT-000000,BC-03,180.0,cycle_time_s,60.19024762929206
UNIT-000000,BC-04,240.0,laser_power_w,1192.5756830467142
UNIT-000000,BC-04,240.0,seam_gap_mm,0.4036542019004593
UNIT-000000,BC-04,240.0,cycle_time_s,59.20568887072002
UNIT-000000,BC-05,300.0,door_gap_mm,3.9128670768243827
UNIT-000000,BC-05,300.0,cycle_time_s,58.62574358160602
UNIT-000000,BC-06,360.0,weld_current_a,858.2785321733548
UNIT-000000,BC-06,360.0,weld_voltage_v,23.77468687670269
UNIT-000000,BC-06,360.0,cycle_time_s,60.01499294247323
UNIT-000000,BC-07,420.0,weld_current_a,858.1726932014004
UNIT-000000,BC-07,420.0,dimensional_variance_mm,0.15133959352808982
UNIT-000000,BC-07,420.0,cycle_time_s,60.79846213076734
UNIT-000000,BC-08,480.0,bead_width_mm,5.964545225576607
UNIT-000000,BC-08,480.0,cycle_time_s,58.476126076641044
UNIT-000000,BC-09,540.0,dimensional_variance_mm,0.1497608453672808
UNIT-000000,BC-09,540.0,torque_nm,43.48139900943777
UNIT-000000,BC-09,540.0,cycle_time_s,58.263465033092295
UNIT-000000,PT-01,600.0,bath_conductivity_ms_cm,1.5680881015167527
UNIT-000000,PT-01,600.0,film_thickness_um,25.19988711336172
UNIT-000000,PT-01,600.0,cycle_time_s,58.91342513356793
UNIT-000000,PT-02,660.0,film_thickness_um,25.649614148893033
UNIT-000000,PT-02,660.0,spray_pressure_bar,2.1843243852732974
UNIT-000000,PT-02,660.0,cycle_time_s,60.885018682160506
UNIT-000000,PT-03,720.0,film_thickness_um,24.691843663198554
UNIT-000000,PT-03,720.0,cycle_time_s,56.579920602321906
UNIT-000000,PT-04,780.0,film_thickness_um,25.4201540687287
UNIT-000000,PT-04,780.0,gloss_units,82.06355528057301
UNIT-000000,PT-04,780.0,cycle_time_s,60.52130837225503
UNIT-000000,PT-06,900.0,defect_count_visual,0.19762340017721283
UNIT-000000,PT-06,900.0,gloss_units,82.54170164753963
UNIT-000000,PT-06,900.0,cycle_time_s,60.08655540925665
UNIT-000000,FA-01,960.0,harness_continuity_ohm,0.0494705072909362
UNIT-000000,FA-01,960.0,cycle_time_s,60.27921145362564
UNIT-000000,FA-02,1020.0,connector_insertion_force_n,60.02622257462813
UNIT-000000,FA-02,1020.0,cycle_time_s,61.9221346695851
UNIT-000000,FA-03,1080.0,door_trim_gap_mm,1.9712773247032371
UNIT-000000,FA-03,1080.0,cycle_time_s,56.315409026561284
UNIT-000000,FA-04,1140.0,seat_bolt_torque_nm,35.376478833408264
UNIT-000000,FA-04,1140.0,cycle_time_s,60.79198806229835
UNIT-000000,FA-09,1440.0,dimensional_variance_mm,0.15438990867365868
UNIT-000000,FA-09,1440.0,functional_test_score,95.67002441352722
UNIT-000000,FA-09,1440.0,cycle_time_s,59.2322981607003
UNIT-000001,BC-01,120.0,weld_current_a,843.373233346352
UNIT-000001,BC-01,120.0,weld_voltage_v,23.339190649172973
UNIT-000001,BC-01,120.0,cycle_time_s,63.80029019298615
UNIT-000001,BC-02,180.0,weld_current_a,824.9962929934549
UNIT-000001,BC-02,180.0,weld_voltage_v,23.51252204102038
UNIT-000001,BC-02,180.0,cycle_time_s,63.39502744778724
UNIT-000001,BC-03,240.0,weld_current_a,864.2481516542044
UNIT-000001,BC-03,240.0,dimensional_variance_mm,0.15599019267507536
UNIT-000001,BC-03,240.0,cycle_time_s,66.67146670716923
UNIT-000001,BC-04,300.0,laser_power_w,1176.2510851192353
UNIT-000001,BC-04,300.0,seam_gap_mm,0.38294362975414953
UNIT-000001,BC-04,300.0,cycle_time_s,63.33731644255323
UNIT-000001,BC-05,360.0,door_gap_mm,3.8048941371255216
UNIT-000001,BC-05,360.0,cycle_time_s,61.42994955652079
UNIT-000001,BC-06,420.0,weld_current_a,847.6065549309214
UNIT-000001,BC-06,420.0,weld_voltage_v,24.511670510778067
UNIT-000001,BC-06,420.0,cycle_time_s,63.197881194981136
UNIT-000001,BC-07,480.0,weld_current_a,847.3032077703423
UNIT-000001,BC-07,480.0,dimensional_variance_mm,0.14689303874152257
UNIT-000001,BC-07,480.0,cycle_time_s,60.88989948967251
UNIT-000001,BC-08,540.0,bead_width_mm,5.824929152733601
UNIT-000001,BC-08,540.0,cycle_time_s,62.79670195790675
UNIT-000001,BC-09,600.0,dimensional_variance_mm,0.15530378974073963
UNIT-000001,BC-09,600.0,torque_nm,45.1172470693256
UNIT-000001,BC-09,600.0,cycle_time_s,64.23825178388905
UNIT-000001,PT-01,660.0,bath_conductivity_ms_cm,1.5620817994746552
UNIT-000001,PT-01,660.0,film_thickness_um,24.517441618883815
UNIT-000001,PT-01,660.0,cycle_time_s,62.08621515868495
UNIT-000001,PT-02,720.0,film_thickness_um,24.589306660387805
UNIT-000001,PT-02,720.0,spray_pressure_bar,2.2368935249643993
UNIT-000001,PT-02,720.0,cycle_time_s,61.86231175561035
UNIT-000001,PT-03,780.0,film_thickness_um,25.577426449158796
UNIT-000001,PT-03,780.0,cycle_time_s,62.40790874685242
UNIT-000001,PT-04,840.0,film_thickness_um,24.672606152285304
UNIT-000001,PT-04,840.0,gloss_units,85.75832274251954
UNIT-000001,PT-04,840.0,cycle_time_s,62.42672081477062
UNIT-000001,PT-06,960.0,defect_count_visual,0.19488824970272153
