unit_id,station_id,timestamp_s,operator_id,check_pass
UNIT-000000,PT-05,840.0,OP-SHIFT_1-01,True
UNIT-000000,FA-05,1200.0,OP-SHIFT_1-01,True
UNIT-000000,FA-06,1260.0,OP-SHIFT_1-01,True
UNIT-000000,FA-07,1320.0,OP-SHIFT_1-01,True
UNIT-000000,FA-08,1380.0,OP-SHIFT_1-01,True
UNIT-000001,PT-05,900.0,OP-SHIFT_1-02,True
UNIT-000001,FA-05,1260.0,OP-SHIFT_1-02,True
UNIT-000001,FA-06,1320.0,OP-SHIFT_1-02,True
UNIT-000001,FA-07,1380.0,OP-SHIFT_1-02,True
UNIT-000001,FA-08,1440.0,OP-SHIFT_1-02,True
UNIT-000002,PT-05,960.0,OP-SHIFT_1-03,True
UNIT-000002,FA-05,1320.0,OP-SHIFT_1-03,True
UNIT-000002,FA-06,1380.0,OP-SHIFT_1-03,True
UNIT-000002,FA-07,1440.0,OP-SHIFT_1-03,True
UNIT-000002,FA-08,1500.0,OP-SHIFT_1-03,True
UNIT-000003,PT-05,1020.0,OP-SHIFT_1-04,True
UNIT-000003,FA-05,1380.0,OP-SHIFT_1-04,True
UNIT-000003,FA-06,1440.0,OP-SHIFT_1-04,True
UNIT-000003,FA-07,1500.0,OP-SHIFT_1-04,True
UNIT-000003,FA-08,1560.0,OP-SHIFT_1-04,True
UNIT-000004,PT-05,1080.0,OP-SHIFT_1-05,True
UNIT-000004,FA-05,1440.0,OP-SHIFT_1-05,True
UNIT-000004,FA-06,1500.0,OP-SHIFT_1-05,True
UNIT-000004,FA-07,1560.0,OP-SHIFT_1-05,True
UNIT-000004,FA-08,1620.0,OP-SHIFT_1-05,True
UNIT-000005,PT-05,1140.0,OP-SHIFT_1-06,True
UNIT-000005,FA-05,1500.0,OP-SHIFT_1-06,True
UNIT-000005,FA-06,1560.0,OP-SHIFT_1-06,True
UNIT-000005,FA-07,1620.0,OP-SHIFT_1-06,True
UNIT-000005,FA-08,1680.0,OP-SHIFT_1-06,True
UNIT-000006,PT-05,1200.0,OP-SHIFT_1-01,True
UNIT-000006,FA-05,1560.0,OP-SHIFT_1-01,True
UNIT-000006,FA-06,1620.0,OP-SHIFT_1-01,True
UNIT-000006,FA-07,1680.0,OP-SHIFT_1-01,True
UNIT-000006,FA-08,1740.0,OP-SHIFT_1-01,True
UNIT-000007,PT-05,1260.0,OP-SHIFT_1-02,True
UNIT-000007,FA-05,1620.0,OP-SHIFT_1-02,True
UNIT-000007,FA-06,1680.0,OP-SHIFT_1-02,True
UNIT-000007,FA-07,1740.0,OP-SHIFT_1-02,True
UNIT-000007,FA-08,1800.0,OP-SHIFT_1-02,True
UNIT-000008,PT-05,1320.0,OP-SHIFT_1-03,True
UNIT-000008,FA-05,1680.0,OP-SHIFT_1-03,True
UNIT-000008,FA-06,1740.0,OP-SHIFT_1-03,True
UNIT-000008,FA-07,1800.0,OP-SHIFT_1-03,True
UNIT-000008,FA-08,1860.0,OP-SHIFT_1-03,True
UNIT-000009,PT-05,1380.0,OP-SHIFT_1-04,True
UNIT-000009,FA-05,1740.0,OP-SHIFT_1-04,True
UNIT-000009,FA-06,1800.0,OP-SHIFT_1-04,True
UNIT-000009,FA-07,1860.0,OP-SHIFT_1-04,True
UNIT-000009,FA-08,1920.0,OP-SHIFT_1-04,True
UNIT-000010,PT-05,1440.0,OP-SHIFT_1-05,True
UNIT-000010,FA-05,1800.0,OP-SHIFT_1-05,True
UNIT-000010,FA-06,1860.0,OP-SHIFT_1-05,True
UNIT-000010,FA-07,1920.0,OP-SHIFT_1-05,True
UNIT-000010,FA-08,1980.0,OP-SHIFT_1-05,True
UNIT-000011,PT-05,1500.0,OP-SHIFT_1-06,True
UNIT-000011,FA-05,1860.0,OP-SHIFT_1-06,True
UNIT-000011,FA-06,1920.0,OP-SHIFT_1-06,True
UNIT-000011,FA-07,1980.0,OP-SHIFT_1-06,True
UNIT-000011,FA-08,2040.0,OP-SHIFT_1-06,True
UNIT-000012,PT-05,1560.0,OP-SHIFT_1-01,True
UNIT-000012,FA-05,1920.0,OP-SHIFT_1-01,True
UNIT-000012,FA-06,1980.0,OP-SHIFT_1-01,True
UNIT-000012,FA-07,2040.0,OP-SHIFT_1-01,True
UNIT-000012,FA-08,2100.0,OP-SHIFT_1-01,True
UNIT-000013,PT-05,1620.0,OP-SHIFT_1-02,True
UNIT-000013,FA-05,1980.0,OP-SHIFT_1-02,True
UNIT-000013,FA-06,2040.0,OP-SHIFT_1-02,True
UNIT-000013,FA-07,2100.0,OP-SHIFT_1-02,True
UNIT-000013,FA-08,2160.0,OP-SHIFT_1-02,True
UNIT-000014,PT-05,1680.0,OP-SHIFT_1-03,True
UNIT-000014,FA-05,2040.0,OP-SHIFT_1-03,True
UNIT-000014,FA-06,2100.0,OP-SHIFT_1-03,True
UNIT-000014,FA-07,2160.0,OP-SHIFT_1-03,True
UNIT-000014,FA-08,2220.0,OP-SHIFT_1-03,True
UNIT-000015,PT-05,1740.0,OP-SHIFT_1-04,True
UNIT-000015,FA-05,2100.0,OP-SHIFT_1-04,True
UNIT-000015,FA-06,2160.0,OP-SHIFT_1-04,True
UNIT-000015,FA-07,2220.0,OP-SHIFT_1-04,True
UNIT-000015,FA-08,2280.0,OP-SHIFT_1-04,True
UNIT-000016,PT-05,1800.0,OP-SHIFT_1-05,True
UNIT-000016,FA-05,2160.0,OP-SHIFT_1-05,True
UNIT-000016,FA-06,2220.0,OP-SHIFT_1-05,True
UNIT-000016,FA-07,2280.0,OP-SHIFT_1-05,True
UNIT-000016,FA-08,2340.0,OP-SHIFT_1-05,True
UNIT-000017,PT-05,1860.0,OP-SHIFT_1-06,True
UNIT-000017,FA-05,2220.0,OP-SHIFT_1-06,True
UNIT-000017,FA-06,2280.0,OP-SHIFT_1-06,True
UNIT-000017,FA-07,2340.0,OP-SHIFT_1-06,True
UNIT-000017,FA-08,2400.0,OP-SHIFT_1-06,True
UNIT-000018,PT-05,1920.0,OP-SHIFT_1-01,True
UNIT-000018,FA-05,2280.0,OP-SHIFT_1-01,True
UNIT-000018,FA-06,2340.0,OP-SHIFT_1-01,True
UNIT-000018,FA-07,2400.0,OP-SHIFT_1-01,True
UNIT-000018,FA-08,2460.0,OP-SHIFT_1-01,True
UNIT-000019,PT-05,1980.0,OP-SHIFT_1-02,True
UNIT-000019,FA-05,2340.0,OP-SHIFT_1-02,True
UNIT-000019,FA-06,2400.0,OP-SHIFT_1-02,True
UNIT-000019,FA-07,2460.0,OP-SHIFT_1-02,True
UNIT-000019,FA-08,2520.0,OP-SHIFT_1-02,True
UNIT-000020,PT-05,2040.0,OP-SHIFT_1-03,True
UNIT-000020,FA-05,2400.0,OP-SHIFT_1-03,True
UNIT-000020,FA-06,2460.0,OP-SHIFT_1-03,True
UNIT-000020,FA-07,2520.0,OP-SHIFT_1-03,True
UNIT-000020,FA-08,2580.0,OP-SHIFT_1-03,True
UNIT-000021,PT-05,2100.0,OP-SHIFT_1-04,True
UNIT-000021,FA-05,2460.0,OP-SHIFT_1-04,True
UNIT-000021,FA-06,2520.0,OP-SHIFT_1-04,True
UNIT-000021,FA-07,2580.0,OP-SHIFT_1-04,True
UNIT-000021,FA-08,2640.0,OP-SHIFT_1-04,True
UNIT-000022,PT-05,2160.0,OP-SHIFT_1-05,True
UNIT-000022,FA-05,2520.0,OP-SHIFT_1-05,True
UNIT-000022,FA-06,2580.0,OP-SHIFT_1-05,True
UNIT-000022,FA-07,2640.0,OP-SHIFT_1-05,True
UNIT-000022,FA-08,2700.0,OP-SHIFT_1-05,True
UNIT-000023,PT-05,2220.0,OP-SHIFT_1-06,True
UNIT-000023,FA-05,2580.0,OP-SHIFT_1-06,True
UNIT-000023,FA-06,2640.0,OP-SHIFT_1-06,True
UNIT-000023,FA-07,2700.0,OP-SHIFT_1-06,True
UNIT-000023,FA-08,2760.0,OP-SHIFT_1-06,True
UNIT-000024,PT-05,2280.0,OP-SHIFT_1-01,True
UNIT-000024,FA-05,2640.0,OP-SHIFT_1-01,True
UNIT-000024,FA-06,2700.0,OP-SHIFT_1-01,True
UNIT-000024,FA-07,2760.0,OP-SHIFT_1-01,True
UNIT-000024,FA-08,2820.0,OP-SHIFT_1-01,True
UNIT-000025,PT-05,2340.0,OP-SHIFT_1-02,True
UNIT-000025,FA-05,2700.0,OP-SHIFT_1-02,True
UNIT-000025,FA-06,2760.0,OP-SHIFT_1-02,True
UNIT-000025,FA-07,2820.0,OP-SHIFT_1-02,True
UNIT-000025,FA-08,2880.0,OP-SHIFT_1-02,True
UNIT-000026,PT-05,2400.0,OP-SHIFT_1-03,True
UNIT-000026,FA-05,2760.0,OP-SHIFT_1-03,True
UNIT-000026,FA-06,2820.0,OP-SHIFT_1-03,True
UNIT-000026,FA-07,2880.0,OP-SHIFT_1-03,True
UNIT-000026,FA-08,2940.0,OP-SHIFT_1-03,True
UNIT-000027,PT-05,2460.0,OP-SHIFT_1-04,True
UNIT-000027,FA-05,2820.0,OP-SHIFT_1-04,False
UNIT-000027,FA-06,2880.0,OP-SHIFT_1-04,True
UNIT-000027,FA-07,2940.0,OP-SHIFT_1-04,True
UNIT-000027,FA-08,3000.0,OP-SHIFT_1-04,True
UNIT-000028,PT-05,2520.0,OP-SHIFT_1-05,True
UNIT-000028,FA-05,2880.0,OP-SHIFT_1-05,True
UNIT-000028,FA-06,2940.0,OP-SHIFT_1-05,True
UNIT-000028,FA-07,3000.0,OP-SHIFT_1-05,True
UNIT-000028,FA-08,3060.0,OP-SHIFT_1-05,True
UNIT-000029,PT-05,2580.0,OP-SHIFT_1-06,True
UNIT-000029,FA-05,2940.0,OP-SHIFT_1-06,True
UNIT-000029,FA-06,3000.0,OP-SHIFT_1-06,True
UNIT-000029,FA-07,3060.0,OP-SHIFT_1-06,True
UNIT-000029,FA-08,3120.0,OP-SHIFT_1-06,True
UNIT-000030,PT-05,2640.0,OP-SHIFT_1-01,True
UNIT-000030,FA-05,3000.0,OP-SHIFT_1-01,True
UNIT-000030,FA-06,3060.0,OP-SHIFT_1-01,True
UNIT-000030,FA-07,3120.0,OP-SHIFT_1-01,True
UNIT-000030,FA-08,3180.0,OP-SHIFT_1-01,True
UNIT-000031,PT-05,2700.0,OP-SHIFT_1-02,True
UNIT-000031,FA-05,3060.0,OP-SHIFT_1-02,True
UNIT-000031,FA-06,3120.0,OP-SHIFT_1-02,True
UNIT-000031,FA-07,3180.0,OP-SHIFT_1-02,True
UNIT-000031,FA-08,3240.0,OP-SHIFT_1-02,True
UNIT-000032,PT-05,2760.0,OP-SHIFT_1-03,True
UNIT-000032,FA-05,3120.0,OP-SHIFT_1-03,True
UNIT-000032,FA-06,3180.0,OP-SHIFT_1-03,True
UNIT-000032,FA-07,3240.0,OP-SHIFT_1-03,True
UNIT-000032,FA-08,3300.0,OP-SHIFT_1-03,True
UNIT-000033,PT-05,2820.0,OP-SHIFT_1-04,True
UNIT-000033,FA-05,3180.0,OP-SHIFT_1-04,True
UNIT-000033,FA-06,3240.0,OP-SHIFT_1-04,True
UNIT-000033,FA-07,3300.0,OP-SHIFT_1-04,True
UNIT-000033,FA-08,3360.0,OP-SHIFT_1-04,True
UNIT-000034,PT-05,2880.0,OP-SHIFT_1-05,True
UNIT-000034,FA-05,3240.0,OP-SHIFT_1-05,True
UNIT-000034,FA-06,3300.0,OP-SHIFT_1-05,True
UNIT-000034,FA-07,3360.0,OP-SHIFT_1-05,True
UNIT-000034,FA-08,3420.0,OP-SHIFT_1-05,True
UNIT-000035,PT-05,2940.0,OP-SHIFT_1-06,True
UNIT-000035,FA-05,3300.0,OP-SHIFT_1-06,True
UNIT-000035,FA-06,3360.0,OP-SHIFT_1-06,True
UNIT-000035,FA-07,3420.0,OP-SHIFT_1-06,True
UNIT-000035,FA-08,3480.0,OP-SHIFT_1-06,True
UNIT-000036,PT-05,3000.0,OP-SHIFT_1-01,True
UNIT-000036,FA-05,3360.0,OP-SHIFT_1-01,True
UNIT-000036,FA-06,3420.0,OP-SHIFT_1-01,True
UNIT-000036,FA-07,3480.0,OP-SHIFT_1-01,True
